signal_cycle,phase,follower_id,leader_id,follower_type,leader_type,min_TTC_s,max_DRAC_mps2,mean_TTC_s,interaction_duration_s,n_timesteps,critical_TTC,critical_DRAC,is_critical
1,GREEN,12,22,bus,car,8.638146167557933,0.0941695109368551,8.638146167557933,0.0,1,False,False,False
1,GREEN,12,22,truck,car,9.804454564861596,0.0716664038118186,10.944305183283356,0.6,3,False,False,False
1,GREEN,12,23,bus,car,2.96809968847352,0.270375015743734,2.96809968847352,0.0,1,False,False,False
1,GREEN,12,23,truck,car,3.2356154406409323,0.2121698368036015,3.7276829007569106,0.4,2,False,False,False
1,GREEN,14,7,car,car,26.50029025891095,0.016250765398888,40.65350807088157,0.6,4,False,False,False
1,GREEN,14,22,car,car,21.751222104144524,0.0216309684921266,21.751222104144524,0.0,1,False,False,False
1,GREEN,14,23,car,car,12.162223914699162,0.0377850303713444,12.162223914699162,0.0,1,False,False,False
1,GREEN,17,22,car,car,0.1521074862945987,7.315221802067947,5.233093397432288,3.8,20,True,True,True
1,GREEN,20,19,car,bus,0.2642128707068339,3.228835891748003,0.5220321805952427,0.4,3,True,False,True
1,GREEN,21,25,car,truck,3.302857659612949,0.3348009856802564,8.579153033597127,1.4,8,False,False,False
1,GREEN,21,46,car,car,4.341004184100419,0.0635540985241324,4.776224466725243,0.4,3,False,False,False
1,GREEN,23,22,car,car,149.7120743034056,0.0001078737307938,174.62039076326062,0.4,3,False,False,False
1,GREEN,28,25,car,truck,1.894964846246716,0.3715372353183674,8.646439843330715,0.8,5,False,False,False
1,GREEN,28,29,car,truck,0.6494190864880924,4.923708074691195,1.0076061198531303,0.2,2,True,True,True
1,GREEN,29,8,truck,truck,5.494669066740515,0.1314364871164871,5.494669066740515,0.0,1,False,False,False
1,GREEN,30,7,car,car,9.202824078072371,0.1258200732923859,10.154279810946907,0.6,4,False,False,False
1,GREEN,30,7,truck,car,7.880996149977454,0.182914694102994,10.377574335428998,1.8,3,False,False,False
1,GREEN,30,19,bus,bus,22.62401300510915,0.0095164372453012,139.26700461093156,1.0,5,False,False,False
1,GREEN,30,34,truck,car,6.977420265311882,0.0253890396828607,6.977420265311882,0.0,1,False,False,False
1,GREEN,30,42,truck,truck,7.14846508287954,0.1168852320480838,7.183869369446997,0.2,2,False,False,False
1,GREEN,34,22,car,car,11.5614796209613,0.0378800996375917,11.5614796209613,0.0,1,False,False,False
1,GREEN,34,42,car,truck,7.36209216279852,0.0403825425471159,9.237572425058248,0.2,2,False,False,False
1,GREEN,34,47,car,car,0.2994705085580593,1.355893112664474,0.2994705085580593,0.0,1,True,False,True
1,GREEN,34,48,car,car,8.464936247723132,0.0129711549841304,8.464936247723132,0.0,1,False,False,False
1,GREEN,36,17,truck,car,3.707257572677373,0.3317142054178548,7.837310916448973,1.8,10,False,False,False
1,GREEN,36,19,truck,bus,1.299813924639479,0.4961479391589621,1.3971065549877641,0.2,2,True,False,True
1,GREEN,36,22,truck,car,5.347459024502852,0.2835271842295145,9.668109735120101,4.0,21,False,False,False
1,GREEN,36,47,truck,car,4.43766578249337,0.0467250149432157,12.31424351926601,0.2,2,False,False,False
1,GREEN,36,52,truck,truck,54.39867109634569,0.0002766611701477,56.770244639081966,0.2,2,False,False,False
1,GREEN,40,19,truck,bus,1.042190826398297,0.7436737883008355,1.042190826398297,0.0,1,True,False,True
1,GREEN,40,34,truck,car,0.6851552766369803,1.5814663287984916,1.2565796070077129,0.8,5,True,False,True
1,GREEN,40,44,truck,motorcycle,14.055064130915524,0.0321734568969586,17.0121223007863,0.4,3,False,False,False
1,GREEN,40,47,truck,car,2.018911801921959,0.7241772516303886,2.595574341301056,0.8,2,False,False,False
1,GREEN,40,48,truck,car,3.151748640897222,0.3706037927147281,22.887505520286464,1.2,5,False,False,False
1,GREEN,41,7,car,car,3.624558063638836,0.7104426947454509,4.941260958370904,1.6,9,False,False,False
1,GREEN,41,42,car,truck,3.1648086896157457,0.3868954240481014,3.7321434946223917,0.4,3,False,False,False
1,GREEN,41,57,car,truck,51.20166320166317,0.0009394226084131,51.20166320166317,0.0,1,False,False,False
1,GREEN,43,7,truck,car,25.143056943056944,0.0099530459071367,25.748220200851776,0.2,2,False,False,False
