timestamp_s,mean_speed_kmh,median_speed_kmh,n_vehicles,std_speed_kmh,smooth_speed_kmh,phase,signal_cycle
94.467,8.821200000000001,6.974399999999999,4,8.527272625718807,6.367602380952375,GREEN,2
94.533,3.1774999999999998,2.4731,4,2.58456453069629,5.736505952380946,GREEN,2
94.633,7.5209,7.7873,7,4.5458065917942445,6.432162074829925,GREEN,2
94.667,6.024566666666668,3.6364,3,6.332702166005704,6.589233503401354,GREEN,2
94.733,3.7387,3.9057,3,2.525244930694843,5.882981122448973,GREEN,2
94.833,8.454142857142857,7.4468,7,5.529585472365037,6.757778265306115,GREEN,2
94.867,8.387625,8.1914,4,6.858132948733204,7.132056836734686,GREEN,2
94.933,3.8774333333333337,4.3406,3,2.541206395264527,6.832852074829924,GREEN,2
95.033,9.30108,7.0213,5,5.972688399456312,7.6905377891156395,GREEN,2
95.067,10.14085,10.91295,4,8.382917491541951,7.844254523809517,GREEN,2
95.133,3.9301333333333335,4.6853,3,2.501937453921127,8.290303333333325,GREEN,2
95.233,9.742500000000001,6.3971,5,6.178114472474593,8.424665238095232,GREEN,2
95.267,9.53016,5.2969,5,8.631016967194538,8.543382380952375,GREEN,2
95.367,11.509966666666665,8.981,3,6.812409989374784,8.536055238095232,GREEN,2
95.4,4.817966666666667,5.6075,3,4.420303674334303,9.02515047619047,GREEN,2
95.433,10.1321,6.7839,5,6.633414146576407,8.280550476190468,GREEN,2
95.467,10.08956,5.8842,5,9.634371373006129,8.247791904761899,GREEN,2
95.567,7.3538,7.2071,3,1.1181907574291605,8.128268095238088,GREEN,2
95.6,4.5302999999999995,5.5379,3,4.02043884171865,8.838653809523803,GREEN,2
95.633,9.30085,6.6912,6,6.4708969544414785,7.986929999999994,GREEN,2
95.667,10.673300000000001,5.8335,5,10.294161441079114,7.887661904761899,GREEN,2
95.767,9.790666666666667,7.7478,3,5.0015530991216455,8.783479761904756,GREEN,2
95.8,4.1700333333333335,4.9669,3,3.717221290605838,9.383129761904756,GREEN,2
95.833,9.394683333333333,6.884600000000001,6,6.393717657643842,8.372303571428565,GREEN,2
95.867,13.624525,10.6798,4,11.104798749902374,8.048132142857138,GREEN,2
95.967,8.72785,6.3984000000000005,4,8.292673216158947,8.428754761904758,GREEN,2
96.0,2.2250666666666667,1.9853,3,2.228146414249596,9.336658571428567,GREEN,2
96.033,8.4041,5.8438,7,7.1774385493712165,8.450565714285709,GREEN,2
96.067,12.455025,10.290099999999999,4,8.911215218055279,7.645274387755096,GREEN,2
96.167,10.52536,6.6259,5,8.292330781993684,8.123077959183668,GREEN,2
96.2,3.1920333333333333,2.9138,3,1.2342980366723966,9.473217006802715,GREEN,2
96.233,7.987485714285715,5.7588,7,6.149646761245335,8.665426530612239,GREEN,2
96.267,12.072475,10.9853,4,7.017213462799889,8.048172959183669,GREEN,2
96.367,11.67604,5.9575,5,10.028125069174196,8.29827510204081,GREEN,2
96.4,2.7495666666666665,2.2649,3,1.2501672261474996,9.86599034013605,GREEN,2
96.433,8.13425,7.5760000000000005,6,6.514198713809703,9.872106666666662,GREEN,2
96.467,12.276075,10.630749999999999,4,6.883305264369729,10.188970952380947,GREEN,2
96.567,14.16604,5.3465,5,13.621070160159958,10.053111666666663,GREEN,2
96.633,8.0303,7.4284,6,6.445968707339495,10.913192619047615,GREEN,2
96.667,14.290525,10.72925,4,10.354445147334872,11.377490238095234,GREEN,2
96.767,10.725025,4.692,4,12.815850587813776,10.310443809523806,GREEN,2
96.833,8.770133333333334,8.4171,6,7.231422289056743,9.522023809523805,GREEN,2
96.867,11.384333333333332,8.271,3,6.245294406457821,9.98921309523809,GREEN,2
96.967,4.80675,4.574199999999999,4,1.0279481131522803,9.225626190476188,GREEN,2
97.033,8.6471,8.5313,6,7.134722366567601,9.347336904761901,GREEN,2
97.067,11.300625,8.9472,4,5.582422903707075,9.347022619047616,GREEN,2
97.233,8.945416666666667,8.598849999999999,6,7.692855570311109,8.820228061224485,GREEN,2
97.267,11.577,8.630849999999999,4,7.753207605028172,9.598975204081627,GREEN,2
97.333,8.767933333333334,10.6207,3,4.38096086987014,9.668832346938771,GREEN,2
97.433,7.696771428571429,4.0937,7,6.53022006513162,8.776138299319724,GREEN,2
97.467,10.25798,7.1786,5,10.488807779104354,8.458495102040812,GREEN,2
97.533,9.1361,11.6249,3,4.711867366554368,8.41016653061224,GREEN,2
97.567,5.0517666666666665,4.549,3,0.9903938324390625,8.350623673469382,GREEN,2
97.633,6.721914285714285,4.3788,7,5.124546437630219,8.172684897959178,GREEN,2
97.667,11.2387,10.1317,4,10.077598789724995,7.732634183673464,GREEN,2
97.733,8.351133333333333,10.5678,3,4.047595322328226,8.039744897959178,GREEN,2
97.767,6.4512,4.3455,5,4.069346549508901,8.925563945578226,GREEN,2
97.833,7.177625,7.35445,4,3.5242860623347063,8.45419047619047,GREEN,2
97.867,11.285874999999999,11.0703,4,9.597918619636586,8.371823809523805,GREEN,2
97.933,11.2525,9.7303,3,8.828574958055237,8.154833333333329,GREEN,2
97.967,3.4223,4.128,3,1.235321403522177,9.112594047619043,GREEN,2
98.0,10.662133333333333,11.9194,3,5.707716532321251,9.54856666666666,GREEN,2
98.033,6.8322,6.857850000000001,4,2.9412760711410053,8.432274999999994,GREEN,2
98.067,13.155525,13.347150000000001,4,12.020179133267247,8.150355952380947,GREEN,2
98.133,10.229433333333333,2.806,3,14.992662830976133,8.756498809523803,GREEN,2
98.167,3.471833333333333,3.8767,3,0.8131749217316858,8.455698809523804,GREEN,2
98.2,9.279066666666667,7.8873,3,5.368016276366283,8.12208928571428,GREEN,2
98.233,7.6653,7.13025,4,3.7277417086845843,6.704114285714279,GREEN,2
98.267,8.556533333333332,5.1042,3,9.535446252972816,6.335727380952375,GREEN,2
98.3,4.496933333333334,4.8624,3,4.261270310991,6.803494047619041,GREEN,2
98.367,3.2297,3.2017,3,0.12448457735800054,8.578694047619042,GREEN,2
98.4,7.6507249999999996,6.86765,4,5.107856238106812,8.703279761904755,GREEN,2
98.433,6.7462,6.492900000000001,4,2.3531068512359004,7.906398809523802,GREEN,2
98.467,21.705466666666666,25.6217,3,15.594814748605812,8.310347619047612,GREEN,2
98.5,8.5374,6.3354,4,9.121272725521003,8.436183333333327,GREEN,2
98.567,2.978366666666666,2.9938,3,0.366193996855947,9.627536904761898,GREEN,2
98.6,7.324575,7.1633000000000004,4,4.528189327884455,9.975951190476184,GREEN,2
98.633,4.11055,5.02025,4,2.582748867001978,7.5447216666666606,GREEN,2
98.667,15.990200000000002,16.3332,3,11.57151329947816,6.946315952380947,GREEN,2
98.7,9.1851,6.9186,3,10.441305867083868,7.909492142857137,GREEN,2
98.767,4.68686,3.5042,5,2.659561086532889,8.184481428571422,GREEN,2
98.833,4.34856,5.1551,5,2.2990700735297303,8.334042142857138,GREEN,2
98.867,9.7206,7.6835,3,6.833888890668329,6.649236428571422,GREEN,2
98.9,9.2495,6.2713,3,10.983328405815788,9.508160238095233,GREEN,2
98.967,5.157475,4.7825500000000005,4,2.903586512545017,10.027208809523804,GREEN,2
99.033,4.19656,5.303,5,2.6708443464567533,10.844285952380947,GREEN,2
99.067,29.19756666666667,26.3164,3,26.812502043698444,10.155433571428565,GREEN,2
99.1,8.3202,6.0076,3,9.625463527020402,9.763233571428566,GREEN,2
99.133,10.0681,2.9758,3,14.633105145183645,11.064108571428566,GREEN,2
99.167,4.898633333333334,3.62,3,3.49083352558287,11.564299999999994,GREEN,2
99.233,6.5041,5.2389,3,2.257790754255141,9.087501904761899,GREEN,2
99.267,14.263599999999999,6.9167,3,15.602602123684369,8.598716190476186,GREEN,2
99.3,7.6979,6.0367,3,8.588942824352714,7.939382857142852,GREEN,2
99.333,11.85998,4.8823,5,12.595984555285863,8.691835238095234,GREEN,2
99.367,4.8987,4.2848500000000005,4,2.80737331444656,8.80795428571428,GREEN,2
99.433,5.452766666666666,5.186,3,0.5695135146186906,7.590335238095233,GREEN,2
99.467,10.165799999999999,5.46945,4,10.63582939094706,7.324459047619042,GREEN,2
99.5,7.316933333333334,5.9321,3,8.039012279088354,7.704983333333327,GREEN,2
99.567,5.740266666666667,4.6883,3,2.3229514250912207,7.809611904761899,GREEN,2
99.633,5.836766666666667,5.2001,3,1.4159611482428933,7.917321428571422,GREEN,2
99.7,14.52365,9.3582,4,17.39417190181815,8.780939285714279,GREEN,2
99.767,5.6311,4.7249,3,1.9636442727744756,8.440245952380947,GREEN,2
99.833,6.206733333333333,5.3347,3,2.5050953481521083,8.470693571428566,GREEN,2
99.9,16.211125,8.43765,4,21.688284573224475,8.876721190476184,GREEN,2
99.967,4.93208,4.738,5,1.7266176985656085,7.6199883333333265,GREEN,2
