frame_number,vehicle_id,timestamp_s,vehicle_type,x_center_px,y_center_px,x_front_px,y_front_px,x_min,y_min,x_max,y_max,width_px,height_px,confidence,vehicle_length_m,vehicle_width_m
30,1,1.0,truck,167.53,107.16,183.99,107.16,151.07,90.95,183.99,123.37,32.91,32.42,0.7036,8.0,2.5
30,6,1.0,car,201.26,138.86,215.6,138.86,186.91,128.45,215.6,149.28,28.7,20.83,0.5813,4.5,1.8
33,20,1.1,car,47.7,227.9,88.24,227.9,7.16,203.21,88.24,252.59,81.08,49.38,0.8979,4.5,1.8
33,19,1.1,bus,420.83,92.38,458.03,92.38,383.63,76.8,458.03,107.95,74.4,31.15,0.6347,12.0,2.5
34,22,1.133,car,510.05,140.21,525.91,140.21,494.19,127.29,525.91,153.13,31.72,25.84,0.6568,4.5,1.8
34,23,1.133,car,322.69,116.23,333.92,116.23,311.46,105.05,333.92,127.41,22.46,22.36,0.654,4.5,1.8
34,24,1.133,truck,467.35,119.73,479.05,119.73,455.66,105.38,479.05,134.08,23.4,28.71,0.5442,8.0,2.5
34,12,1.133,bus,126.83,125.31,148.78,125.31,104.89,107.7,148.78,142.92,43.89,35.22,0.514,12.0,2.5
34,14,1.133,car,10.27,140.83,20.49,140.83,0.04,132.69,20.49,148.97,20.46,16.28,0.5082,4.5,1.8
35,28,1.167,car,41.94,290.9,83.69,290.9,0.2,254.23,83.69,327.57,83.49,73.34,0.844,4.5,1.8
35,21,1.167,car,32.7,177.82,61.05,177.82,4.34,160.53,61.05,195.11,56.71,34.58,0.8395,4.5,1.8
35,25,1.167,truck,377.66,116.27,391.06,116.27,364.27,98.52,391.06,134.02,26.79,35.49,0.5281,8.0,2.5
35,29,1.167,truck,306.62,253.9,326.95,253.9,286.28,220.21,326.95,287.59,40.66,67.38,0.5273,8.0,2.5
35,17,1.167,car,348.81,111.39,357.98,111.39,339.64,101.43,357.98,121.35,18.34,19.92,0.5199,4.5,1.8
35,10,1.167,truck,99.41,171.18,117.27,171.18,81.54,150.78,117.27,191.58,35.73,40.8,0.5155,8.0,2.5
36,5,1.2,car,283.91,197.51,307.06,197.51,260.76,173.82,307.06,221.21,46.3,47.39,0.8945,4.5,1.8
36,2,1.2,car,436.54,208.42,466.18,208.42,406.9,184.15,466.18,232.7,59.28,48.55,0.8672,4.5,1.8
36,8,1.2,truck,591.05,295.86,640.0,295.86,542.11,234.83,640.0,356.9,97.89,122.07,0.7802,8.0,2.5
36,4,1.2,car,167.09,174.76,192.5,174.76,141.67,156.91,192.5,192.61,50.84,35.7,0.7667,4.5,1.8
36,3,1.2,car,162.26,153.11,183.5,153.11,141.02,140.03,183.5,166.2,42.49,26.17,0.7499,4.5,1.8
36,7,1.2,car,556.1,173.67,580.49,173.67,531.71,156.02,580.49,191.32,48.78,35.3,0.7448,4.5,1.8
36,11,1.2,truck,412.8,137.92,435.7,137.92,389.9,109.25,435.7,166.59,45.79,57.34,0.737,8.0,2.5
36,9,1.2,car,312.76,155.94,327.52,155.94,298.01,140.57,327.52,171.31,29.51,30.74,0.7328,4.5,1.8
36,1,1.2,truck,170.03,102.88,185.86,102.88,154.19,86.91,185.86,118.85,31.67,31.94,0.6398,8.0,2.5
36,6,1.2,car,204.27,132.89,217.72,132.89,190.82,122.39,217.72,143.4,26.91,21.0,0.5201,4.5,1.8
39,20,1.3,car,62.96,213.81,100.34,213.81,25.58,191.21,100.34,236.41,74.75,45.21,0.8878,4.5,1.8
39,19,1.3,bus,419.18,89.45,455.99,89.45,382.38,74.14,455.99,104.76,73.61,30.62,0.6742,12.0,2.5
40,22,1.333,car,506.14,138.28,522.76,138.28,489.51,125.3,522.76,151.25,33.25,25.95,0.6513,4.5,1.8
40,23,1.333,car,321.14,115.99,332.91,115.99,309.37,104.53,332.91,127.45,23.53,22.92,0.6019,4.5,1.8
40,12,1.333,truck,131.25,121.31,154.54,121.31,107.95,103.05,154.54,139.58,46.59,36.53,0.5288,8.0,2.5
41,21,1.367,car,42.15,168.84,69.25,168.84,15.05,152.83,69.25,184.85,54.2,32.02,0.8377,4.5,1.8
41,28,1.367,car,52.11,270.41,104.1,270.41,0.12,233.98,104.1,306.85,103.98,72.87,0.8207,4.5,1.8
41,29,1.367,truck,302.06,267.26,324.2,267.26,279.92,230.99,324.2,303.53,44.28,72.54,0.5604,8.0,2.5
41,25,1.367,truck,377.72,115.26,392.04,115.26,363.39,96.29,392.04,134.23,28.65,37.93,0.5367,8.0,2.5
41,17,1.367,car,348.13,111.18,357.64,111.18,338.62,101.32,357.64,121.04,19.02,19.71,0.5221,4.5,1.8
42,5,1.4,car,278.36,204.24,302.92,204.24,253.81,178.53,302.92,229.94,49.11,51.41,0.8917,4.5,1.8
42,2,1.4,car,442.55,215.5,474.06,215.5,411.04,189.31,474.06,241.7,63.01,52.39,0.8731,4.5,1.8
42,4,1.4,car,173.6,165.9,197.6,165.9,149.6,149.11,197.6,182.69,48.0,33.58,0.8231,4.5,1.8
42,9,1.4,car,310.49,158.0,325.88,158.0,295.11,142.07,325.88,173.92,30.77,31.85,0.7828,4.5,1.8
42,1,1.4,truck,171.3,99.3,187.06,99.3,155.53,84.6,187.06,113.99,31.53,29.39,0.773,8.0,2.5
42,8,1.4,truck,596.85,303.6,639.67,303.6,554.03,248.59,639.67,358.6,85.65,110.01,0.7717,8.0,2.5
42,11,1.4,truck,414.06,138.81,438.34,138.81,389.79,108.56,438.34,169.06,48.55,60.5,0.7653,8.0,2.5
42,7,1.4,car,553.56,171.14,577.33,171.14,529.79,152.54,577.33,189.75,47.55,37.21,0.7607,4.5,1.8
42,3,1.4,car,167.4,146.69,187.6,146.69,147.2,133.92,187.6,159.46,40.4,25.54,0.741,4.5,1.8
42,6,1.4,car,206.4,127.89,219.39,127.89,193.41,117.39,219.39,138.39,25.98,21.0,0.5875,4.5,1.8
45,20,1.5,car,79.07,198.4,113.72,198.4,44.43,178.03,113.72,218.77,69.29,40.74,0.8607,4.5,1.8
45,19,1.5,bus,416.18,87.74,453.31,87.74,379.04,72.08,453.31,103.41,74.27,31.33,0.7408,12.0,2.5
46,22,1.533,car,504.74,136.85,520.89,136.85,488.58,124.41,520.89,149.29,32.31,24.87,0.6485,4.5,1.8
46,12,1.533,truck,135.01,115.76,156.31,115.76,113.7,98.57,156.31,132.95,42.61,34.37,0.4833,8.0,2.5
47,28,1.567,car,71.64,244.36,123.12,244.36,20.16,213.53,123.12,275.2,102.96,61.67,0.8612,4.5,1.8
